sex,age,race,c_charge_degree,priors_count,is_recid
Male,69,Other,F,0,1
Male,34,African-American,F,0,0
Male,24,African-American,F,4,0
Male,23,African-American,F,1,1
Male,43,Other,F,2,1
Male,44,Other,M,0,1
Male,41,Caucasian,F,14,0
Male,43,Other,F,3,1
Female,39,Caucasian,M,0,1
Male,21,Caucasian,F,1,0
Male,27,Caucasian,F,0,1
Male,23,African-American,M,3,0
Female,37,Caucasian,M,0,1
Male,41,African-American,F,0,1
Female,47,Caucasian,F,1,0
Male,31,African-American,F,7,0
Male,37,Hispanic,M,0,1
Male,25,African-American,F,3,1
Male,31,Caucasian,F,6,0
Male,31,Caucasian,F,5,0
Male,64,African-American,F,13,0
Male,21,African-American,F,1,0
Male,27,Caucasian,M,0,0
Female,21,Caucasian,F,0,1
Male,24,Hispanic,F,1,0
Male,43,Caucasian,M,1,1
Male,32,Other,M,0,1
Male,27,African-American,F,8,0
Female,36,Caucasian,F,3,1
Male,26,African-American,F,5,0
Male,33,African-American,F,0,0
Male,30,Caucasian,F,9,0
Male,32,African-American,F,4,0
Male,55,Caucasian,F,0,1
Male,49,Other,F,7,0
Male,26,Caucasian,M,6,1
Female,33,Caucasian,M,4,0
Male,24,Caucasian,M,1,0
Male,34,African-American,F,21,0
Male,29,Caucasian,M,0,1
Female,21,African-American,F,2,1
Male,51,African-American,M,2,1
Male,29,Caucasian,M,2,0
Female,51,African-American,F,7,1
Male,29,African-American,F,0,0
Male,25,Caucasian,M,9,0
Male,35,African-American,F,13,0
Male,49,Caucasian,M,0,1
Male,34,African-American,M,4,0
Male,29,African-American,F,0,1
Male,29,Caucasian,F,1,0
Female,28,Other,F,0,1
Male,48,Caucasian,F,20,0
Female,63,Hispanic,F,1,1
Male,31,African-American,F,15,0
Male,24,African-American,F,2,0
Male,30,Hispanic,M,0,1
Male,49,African-American,M,4,1
Male,53,Caucasian,F,8,1
Male,35,African-American,F,5,1
Male,63,African-American,M,10,0
Male,27,African-American,F,15,0
Male,38,Caucasian,M,4,0
Male,22,African-American,F,1,0
Male,22,African-American,F,2,0
Male,29,African-American,F,4,0
Male,62,Hispanic,M,0,1
Male,27,African-American,F,6,0
Male,33,Other,M,0,1
Female,56,African-American,M,0,1
Male,45,Hispanic,F,6,0
Male,22,Hispanic,F,1,1
Male,39,African-American,M,1,1
Male,29,African-American,F,5,0
Male,27,Caucasian,F,1,0
Male,40,African-American,F,2,1
Male,22,African-American,M,1,0
Male,22,Caucasian,F,0,1
Female,26,African-American,F,1,0
Male,27,Caucasian,F,1,0
Male,32,African-American,F,0,1
Male,41,African-American,M,1,1
Male,30,African-American,M,8,0
Male,50,Other,F,0,0
Male,25,African-American,F,14,0
Male,20,Other,F,0,0
Male,22,African-American,F,2,0
Male,23,African-American,M,2,0
Female,35,African-American,M,1,1
Male,36,African-American,F,9,0
Male,26,Caucasian,F,7,0
Male,21,Other,F,1,0
Male,25,Caucasian,F,9,0
Male,71,African-American,M,12,1
Female,20,Caucasian,F,0,1
Male,39,Caucasian,F,2,0
