age,workclass,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income-per-year
35,Private,13,White,Female,0,0,32,>50K
31,Private,10,White,Male,0,0,45,<=50K
33,Private,12,White,Male,0,0,40,<=50K
59,Self-emp-not-inc,4,White,Male,0,0,48,<=50K
42,Private,10,White,Female,0,0,40,<=50K
23,Private,13,White,Male,0,0,48,<=50K
47,Private,13,White,Male,15024,0,40,>50K
28,Private,10,White,Female,0,0,40,<=50K
45,Private,9,White,Male,0,0,40,<=50K
35,Private,10,White,Male,0,0,40,<=50K
21,Private,5,White,Male,0,0,40,<=50K
36,Private,9,White,Male,0,2377,60,<=50K
42,Local-gov,6,White,Male,99999,0,40,>50K
58,Private,10,Black,Female,0,0,55,>50K
63,Local-gov,13,White,Male,0,0,40,>50K
41,Private,9,White,Female,0,0,36,<=50K
50,Private,9,White,Male,0,1902,40,>50K
48,Private,9,White,Female,0,0,36,<=50K
33,Private,13,Black,Male,0,0,40,>50K
38,Private,9,White,Female,0,0,20,<=50K
28,Private,13,White,Female,0,0,50,>50K
34,Private,9,White,Male,0,0,40,<=50K
47,Private,13,White,Female,0,0,40,<=50K
33,Self-emp-inc,13,White,Male,0,0,50,>50K
34,Private,9,White,Male,0,0,40,>50K
37,Private,10,White,Male,0,0,40,<=50K
61,Self-emp-inc,13,White,Male,0,0,50,>50K
19,Private,9,White,Male,0,0,20,<=50K
57,Private,2,White,Male,0,0,40,<=50K
31,Local-gov,13,White,Female,0,0,40,<=50K
27,Private,9,White,Male,0,0,40,<=50K
27,Private,13,Asian-Pac-Islander,Female,0,0,40,<=50K
20,Private,10,White,Female,0,0,40,<=50K
25,Private,8,Other,Male,0,0,60,<=50K
47,Local-gov,10,Black,Male,7688,0,50,>50K
42,Local-gov,14,White,Female,0,1741,35,<=50K
23,State-gov,10,White,Male,0,0,30,<=50K
40,Private,8,White,Male,0,0,40,<=50K
45,Private,13,White,Male,0,0,40,>50K
41,Private,10,White,Male,0,0,40,<=50K
42,Private,11,White,Female,0,0,40,<=50K
35,Private,6,White,Male,0,0,50,<=50K
21,Private,10,White,Male,0,0,40,<=50K
47,State-gov,16,White,Male,0,0,40,>50K
66,Private,1,White,Female,0,0,40,<=50K
38,Private,9,White,Male,7298,0,50,>50K
28,Private,9,White,Female,2202,0,48,<=50K
33,Private,10,Asian-Pac-Islander,Female,0,0,52,<=50K
28,Private,6,White,Female,0,0,40,<=50K
56,Private,10,White,Male,4416,0,60,<=50K
38,Private,13,White,Female,0,0,38,<=50K
27,Local-gov,9,White,Male,0,0,40,<=50K
61,Private,10,White,Male,0,0,25,<=50K
38,Private,13,White,Male,0,0,55,>50K
28,Private,6,White,Female,0,155,40,<=50K
50,Private,10,White,Male,0,0,40,<=50K
21,State-gov,10,White,Male,0,0,10,<=50K
18,Private,4,White,Female,0,0,40,<=50K
19,Private,8,White,Male,1055,0,40,<=50K
30,Private,10,Black,Female,0,0,40,<=50K
58,Private,11,White,Male,3908,0,40,<=50K
26,Private,9,White,Male,5013,0,60,<=50K
38,Private,10,White,Female,0,0,40,<=50K
29,Self-emp-not-inc,9,White,Male,0,0,40,<=50K
28,Self-emp-not-inc,9,White,Male,0,0,35,<=50K
42,Private,9,White,Male,0,0,50,<=50K
34,Private,11,White,Male,0,0,32,>50K
17,Private,6,White,Female,0,0,5,<=50K
35,Private,9,White,Male,0,1740,40,<=50K
61,Private,10,White,Female,0,0,40,<=50K
36,Local-gov,11,Amer-Indian-Eskimo,Male,0,0,40,<=50K
26,Private,6,White,Female,2907,0,40,<=50K
47,Private,10,White,Male,99999,0,60,>50K
49,Self-emp-not-inc,9,White,Male,0,0,60,<=50K
52,Private,7,White,Male,0,0,40,<=50K
43,Private,13,White,Male,0,0,45,<=50K
18,Private,7,White,Male,0,0,20,<=50K
50,Private,14,White,Male,7688,0,50,>50K
35,Private,13,White,Male,0,0,50,>50K
60,Private,5,White,Male,0,0,45,<=50K
47,Private,4,White,Male,0,0,40,<=50K
50,Self-emp-not-inc,12,White,Male,3103,0,40,>50K
50,Private,10,Black,Male,0,0,70,>50K
31,Private,13,Asian-Pac-Islander,Male,0,0,40,<=50K
22,Private,12,White,Male,0,0,40,<=50K
20,Private,10,White,Male,0,0,20,<=50K
53,Private,9,White,Male,6849,0,40,<=50K
44,Private,9,Black,Male,0,1485,40,<=50K
28,Private,9,Other,Male,0,0,50,<=50K
70,Private,7,White,Male,0,0,40,<=50K
40,Private,13,White,Male,0,0,40,<=50K
32,Private,13,Black,Male,0,0,30,<=50K
30,Local-gov,10,White,Male,15024,0,40,>50K
18,Private,7,White,Female,0,0,20,<=50K
59,Private,10,White,Female,0,0,16,>50K
50,Private,15,White,Male,0,0,36,>50K
54,Private,9,White,Male,0,0,40,<=50K
59,Self-emp-not-inc,10,White,Male,0,0,20,>50K
36,Private,9,White,Female,0,0,40,<=50K
19,State-gov,8,Black,Male,0,0,20,<=50K
36,Private,9,White,Male,0,0,40,<=50K
45,Private,9,White,Male,0,0,7,<=50K
58,Private,10,White,Female,0,0,46,<=50K
28,Private,9,Black,Male,0,0,40,<=50K
44,Private,13,White,Male,7298,0,40,>50K
49,Local-gov,13,White,Female,0,0,50,<=50K
30,Private,9,White,Male,0,0,40,<=50K
19,Private,9,White,Male,0,0,40,<=50K
56,Self-emp-inc,10,White,Male,0,1672,40,<=50K
42,Private,13,White,Male,0,0,40,>50K
26,Private,10,Black,Female,0,0,40,<=50K
53,Private,9,White,Male,0,0,35,<=50K
36,Private,11,White,Male,0,0,45,<=50K
36,Private,9,White,Male,0,0,50,<=50K
54,Private,7,White,Male,0,0,40,<=50K
43,Private,9,White,Male,0,0,30,<=50K
61,Self-emp-not-inc,10,White,Female,0,0,40,<=50K
33,Private,9,White,Male,0,0,40,<=50K
55,Private,13,White,Male,0,0,18,>50K
49,Private,13,White,Male,0,0,60,>50K
53,Private,13,White,Female,0,0,45,<=50K
26,Private,13,White,Male,3325,0,40,<=50K
31,Self-emp-not-inc,13,White,Female,0,0,40,>50K
24,Private,13,White,Male,0,0,40,<=50K
49,Private,14,White,Female,0,1977,40,>50K
47,Self-emp-inc,9,White,Male,15024,0,40,>50K
42,Private,9,Amer-Indian-Eskimo,Male,0,0,60,<=50K
38,Private,14,Black,Male,0,0,40,>50K
