age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income-per-year,workclass
35.0,13.0,White,Female,0.0,0.0,32.0,>50K,Private
31.0,10.0,White,Male,0.0,0.0,36.0,<=50K,Private
33.0,12.0,White,Male,0.0,0.0,32.0,<=50K,Private
59.0,4.0,White,Male,0.0,0.0,39.0,<=50K,Self-emp-not-inc
42.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
23.0,13.0,White,Male,0.0,0.0,39.0,<=50K,Private
47.0,13.0,White,Male,14344.0,0.0,32.0,>50K,Private
28.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
45.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
35.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
21.0,5.0,White,Male,0.0,0.0,32.0,<=50K,Private
36.0,9.0,White,Male,0.0,2377.0,48.0,<=50K,Private
42.0,6.0,White,Male,99999.0,0.0,32.0,>50K,Local-gov
58.0,10.0,Black&more,Female,0.0,0.0,55.0,>50K,Private
41.0,7.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
63.0,13.0,White,Male,0.0,0.0,32.0,>50K,Local-gov
41.0,9.0,White,Female,0.0,0.0,36.0,<=50K,Private
50.0,9.0,White,Male,0.0,1848.0,32.0,>50K,Private
48.0,9.0,White,Female,0.0,0.0,36.0,<=50K,Private
33.0,13.0,Black&more,Male,0.0,0.0,32.0,>50K,Private
38.0,9.0,White,Female,0.0,0.0,20.0,<=50K,Private
28.0,13.0,White,Female,0.0,0.0,50.0,>50K,Private
34.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
47.0,13.0,White,Female,0.0,0.0,40.0,<=50K,Private
55.0,8.0,White,Male,0.0,0.0,24.0,<=50K,Private
33.0,13.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-inc
34.0,9.0,White,Male,0.0,0.0,32.0,>50K,Private
37.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
20.0,10.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
61.0,13.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-inc
19.0,9.0,White,Male,0.0,0.0,16.0,<=50K,Private
57.0,2.0,White,Male,0.0,0.0,32.0,<=50K,Private
31.0,13.0,White,Female,0.0,0.0,40.0,<=50K,Local-gov
27.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
27.0,13.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
20.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
25.0,8.0,Black&more,Male,0.0,0.0,48.0,<=50K,Private
47.0,10.0,Black&more,Male,7430.0,0.0,40.0,>50K,Local-gov
42.0,14.0,White,Female,0.0,1741.0,35.0,<=50K,Local-gov
23.0,10.0,White,Male,0.0,0.0,24.0,<=50K,State-gov
40.0,8.0,White,Male,0.0,0.0,32.0,<=50K,Private
45.0,13.0,White,Male,0.0,0.0,32.0,>50K,Private
41.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
42.0,11.0,White,Female,0.0,0.0,40.0,<=50K,Private
35.0,6.0,White,Male,0.0,0.0,40.0,<=50K,Private
21.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
47.0,16.0,White,Male,0.0,0.0,32.0,>50K,State-gov
66.0,1.0,White,Female,0.0,0.0,40.0,<=50K,Private
38.0,9.0,White,Male,6723.0,0.0,40.0,>50K,Private
28.0,9.0,White,Female,2202.0,0.0,48.0,<=50K,Private
33.0,10.0,Black&more,Female,0.0,0.0,52.0,<=50K,Private
28.0,6.0,White,Female,0.0,0.0,40.0,<=50K,Private
56.0,10.0,White,Male,4386.0,0.0,48.0,<=50K,Private
38.0,13.0,White,Female,0.0,0.0,38.0,<=50K,Private
27.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Local-gov
61.0,10.0,White,Male,0.0,0.0,21.0,<=50K,Private
38.0,13.0,White,Male,0.0,0.0,44.0,>50K,Private
28.0,6.0,White,Female,0.0,155.0,40.0,<=50K,Private
50.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
21.0,10.0,White,Male,0.0,0.0,8.0,<=50K,State-gov
18.0,4.0,White,Female,0.0,0.0,40.0,<=50K,Private
19.0,8.0,White,Male,991.0,0.0,32.0,<=50K,Private
30.0,10.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
58.0,11.0,White,Male,3887.0,0.0,32.0,<=50K,Private
26.0,9.0,White,Male,4865.0,0.0,48.0,<=50K,Private
38.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
29.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Self-emp-not-inc
28.0,9.0,White,Male,0.0,0.0,28.0,<=50K,Self-emp-not-inc
42.0,9.0,White,Male,0.0,0.0,40.0,<=50K,Private
34.0,11.0,White,Male,0.0,0.0,26.0,>50K,Private
17.0,6.0,White,Female,0.0,0.0,5.0,<=50K,Private
35.0,9.0,White,Male,0.0,1672.0,32.0,<=50K,Private
61.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
36.0,11.0,Black&more,Male,0.0,0.0,32.0,<=50K,Local-gov
26.0,6.0,White,Female,2907.0,0.0,40.0,<=50K,Private
47.0,10.0,White,Male,99999.0,0.0,48.0,>50K,Private
49.0,9.0,White,Male,0.0,0.0,48.0,<=50K,Self-emp-not-inc
52.0,7.0,White,Male,0.0,0.0,32.0,<=50K,Private
43.0,13.0,White,Male,0.0,0.0,36.0,<=50K,Private
18.0,7.0,White,Male,0.0,0.0,16.0,<=50K,Private
50.0,14.0,White,Male,7430.0,0.0,40.0,>50K,Private
35.0,13.0,White,Male,0.0,0.0,40.0,>50K,Private
60.0,5.0,White,Male,0.0,0.0,36.0,<=50K,Private
47.0,4.0,White,Male,0.0,0.0,32.0,<=50K,Private
50.0,12.0,White,Male,3103.0,0.0,32.0,>50K,Self-emp-not-inc
50.0,10.0,Black&more,Male,0.0,0.0,57.0,>50K,Private
31.0,13.0,Black&more,Male,0.0,0.0,32.0,<=50K,Private
