Unnamed: 0,sex,age,race,priors_count,is_recid,c_charge_degree,pred_is_recid
4759.0,Male,54.0,Native American&more,0.0,neg,F,neg
3815.0,Male,24.0,African-American,11.0,neg,F,neg
5192.0,Male,55.0,Native American&more,0.0,pos,M,neg
71.0,Male,22.0,Native American&more,1.0,pos,F,pos
3681.0,Male,53.0,Native American&more,2.0,pos,F,neg
3767.0,Male,55.0,African-American,12.0,neg,F,neg
6487.0,Male,27.0,African-American,1.0,neg,F,neg
3099.0,Female,51.0,African-American,10.0,neg,F,neg
2088.0,Male,51.0,Native American&more,2.0,pos,F,neg
2662.0,Male,26.0,Native American&more,0.0,neg,F,neg
811.0,Male,35.0,African-American,7.0,pos,F,neg
14.0,Female,47.0,Native American&more,1.0,neg,F,pos
5003.0,Male,54.0,African-American,1.0,pos,F,neg
4077.0,Male,48.0,African-American,0.0,pos,M,neg
6253.0,Male,29.0,African-American,3.0,neg,F,neg
2078.0,Female,27.0,African-American,0.0,neg,M,neg
1297.0,Male,65.0,Native American&more,2.0,pos,M,pos
4243.0,Male,36.0,African-American,16.0,neg,F,neg
3597.0,Male,60.0,African-American,13.0,pos,F,neg
5430.0,Female,29.0,African-American,11.0,neg,F,neg
1828.0,Male,37.0,Native American&more,3.0,pos,M,neg
4526.0,Male,23.0,African-American,1.0,pos,F,neg
4221.0,Male,28.0,Native American&more,5.0,pos,F,neg
2845.0,Male,24.0,African-American,0.0,neg,F,neg
3056.0,Male,28.0,African-American,5.0,neg,F,neg
6275.0,Male,39.0,African-American,9.0,pos,F,neg
7145.0,Male,29.0,Native American&more,14.0,neg,F,neg
4865.0,Male,21.0,African-American,3.0,neg,F,neg
5544.0,Male,24.0,Native American&more,4.0,neg,F,neg
557.0,Male,22.0,African-American,3.0,neg,F,neg
5018.0,Male,68.0,African-American,2.0,pos,F,neg
3576.0,Male,48.0,African-American,0.0,pos,M,neg
3019.0,Male,31.0,Native American&more,4.0,neg,F,neg
1992.0,Male,42.0,African-American,0.0,neg,F,neg
1249.0,Male,20.0,Native American&more,0.0,neg,M,neg
1092.0,Male,29.0,Native American&more,7.0,neg,M,neg
3286.0,Male,30.0,African-American,0.0,pos,F,neg
5126.0,Male,35.0,Native American&more,3.0,neg,M,neg
4291.0,Male,23.0,Native American&more,2.0,neg,F,neg
3732.0,Female,22.0,African-American,0.0,pos,M,neg
3083.0,Male,25.0,Native American&more,0.0,neg,F,neg
6458.0,Female,48.0,African-American,0.0,neg,F,neg
5945.0,Female,35.0,Native American&more,0.0,pos,F,neg
2176.0,Male,33.0,African-American,4.0,pos,F,neg
2434.0,Male,19.0,African-American,1.0,neg,F,neg
6779.0,Male,32.0,Native American&more,0.0,pos,M,neg
56.0,Male,30.0,Native American&more,0.0,pos,M,pos
4546.0,Female,28.0,African-American,4.0,neg,F,neg
2734.0,Male,21.0,African-American,0.0,pos,F,neg
2404.0,Female,31.0,African-American,0.0,pos,M,neg
5166.0,Male,19.0,African-American,1.0,neg,F,neg
3040.0,Male,32.0,African-American,12.0,neg,M,neg
3199.0,Male,28.0,Native American&more,9.0,neg,F,neg
6593.0,Male,51.0,African-American,1.0,pos,F,neg
5690.0,Male,25.0,Native American&more,0.0,pos,M,neg
730.0,Male,45.0,African-American,0.0,neg,F,pos
5782.0,Female,22.0,Native American&more,1.0,neg,F,neg
1097.0,Male,50.0,African-American,7.0,pos,F,neg
3196.0,Female,27.0,Native American&more,1.0,pos,F,neg
4088.0,Male,64.0,Native American&more,0.0,pos,M,neg
1438.0,Female,23.0,African-American,0.0,pos,M,neg
1882.0,Male,36.0,African-American,0.0,pos,F,neg
2056.0,Male,25.0,Native American&more,0.0,pos,F,neg
5561.0,Male,23.0,African-American,2.0,neg,F,neg
7210.0,Male,23.0,African-American,0.0,pos,F,neg
6167.0,Male,24.0,Native American&more,1.0,neg,M,neg
241.0,Male,25.0,Native American&more,4.0,pos,F,neg
6019.0,Male,21.0,Native American&more,4.0,neg,F,neg
3118.0,Male,24.0,Native American&more,1.0,pos,F,neg
227.0,Male,37.0,African-American,0.0,neg,M,pos
5020.0,Male,46.0,African-American,3.0,neg,F,neg
5999.0,Female,48.0,Native American&more,1.0,pos,F,neg
5585.0,Male,29.0,African-American,0.0,pos,M,neg
6162.0,Female,27.0,Native American&more,1.0,neg,F,neg
3034.0,Male,27.0,Native American&more,0.0,neg,M,neg
336.0,Female,21.0,African-American,0.0,neg,F,pos
470.0,Male,54.0,African-American,2.0,pos,M,pos
2062.0,Male,32.0,Native American&more,0.0,pos,F,neg
1432.0,Female,42.0,African-American,2.0,pos,M,neg
134.0,Female,29.0,Native American&more,10.0,neg,F,neg
4262.0,Male,37.0,Native American&more,1.0,neg,F,neg
5626.0,Male,24.0,Native American&more,5.0,neg,F,neg
2124.0,Male,34.0,Native American&more,1.0,pos,F,neg
4850.0,Male,51.0,African-American,2.0,pos,F,neg
2119.0,Male,29.0,African-American,11.0,neg,F,neg
88.0,Female,35.0,African-American,1.0,pos,M,pos
3671.0,Male,38.0,African-American,0.0,pos,F,neg
6184.0,Female,43.0,African-American,0.0,pos,M,neg
83.0,Male,50.0,Native American&more,0.0,neg,F,pos
2843.0,Male,23.0,African-American,2.0,neg,F,neg
3733.0,Male,34.0,Native American&more,0.0,pos,M,neg
157.0,Female,46.0,Native American&more,1.0,pos,F,pos
1222.0,Female,25.0,African-American,2.0,neg,F,neg
3255.0,Male,23.0,African-American,6.0,neg,F,neg
4194.0,Male,35.0,Native American&more,5.0,pos,F,neg
6951.0,Female,22.0,Native American&more,1.0,pos,M,neg
1606.0,Male,36.0,African-American,0.0,pos,F,neg
460.0,Female,34.0,Native American&more,4.0,neg,F,neg
5825.0,Male,29.0,African-American,16.0,neg,F,neg
7162.0,Male,37.0,African-American,4.0,pos,F,neg
3927.0,Female,23.0,Native American&more,0.0,pos,M,neg
4176.0,Male,41.0,African-American,16.0,neg,F,neg
1747.0,Male,27.0,African-American,3.0,pos,M,neg
4791.0,Female,58.0,Native American&more,0.0,neg,F,neg
917.0,Male,21.0,African-American,2.0,neg,F,neg
3061.0,Male,25.0,African-American,1.0,neg,M,neg
1996.0,Male,31.0,Native American&more,5.0,neg,F,neg
6717.0,Male,47.0,Native American&more,5.0,neg,M,neg
2193.0,Male,35.0,Native American&more,7.0,neg,F,neg
5950.0,Male,20.0,Native American&more,0.0,pos,F,neg
5974.0,Male,20.0,African-American,1.0,pos,F,neg
2577.0,Male,33.0,Native American&more,3.0,pos,F,neg
1980.0,Male,31.0,Native American&more,1.0,neg,M,neg
5355.0,Female,20.0,African-American,0.0,pos,F,neg
7004.0,Female,29.0,African-American,0.0,pos,F,neg
2196.0,Female,28.0,African-American,3.0,neg,F,neg
1849.0,Male,51.0,African-American,4.0,pos,F,neg
2402.0,Male,28.0,African-American,4.0,pos,F,neg
4344.0,Male,41.0,Native American&more,1.0,pos,M,neg
279.0,Female,22.0,Native American&more,1.0,pos,F,pos
5706.0,Male,37.0,African-American,17.0,neg,F,neg
3943.0,Male,51.0,Native American&more,0.0,pos,M,neg
1803.0,Male,29.0,African-American,13.0,neg,F,neg
5592.0,Male,29.0,African-American,6.0,neg,F,neg
3477.0,Male,50.0,Native American&more,0.0,pos,F,neg
6470.0,Male,30.0,African-American,9.0,neg,M,neg
2574.0,Male,52.0,African-American,7.0,neg,F,neg
2089.0,Male,33.0,African-American,23.0,neg,F,neg
5589.0,Female,36.0,African-American,1.0,pos,F,neg
2898.0,Male,22.0,Native American&more,0.0,pos,M,neg
4178.0,Male,28.0,African-American,3.0,pos,F,neg
6111.0,Male,30.0,African-American,10.0,neg,F,neg
494.0,Male,54.0,African-American,0.0,pos,M,pos
1440.0,Male,48.0,African-American,9.0,neg,F,neg
5533.0,Female,36.0,Native American&more,7.0,neg,F,neg
377.0,Male,25.0,African-American,7.0,neg,F,neg
2589.0,Male,30.0,African-American,0.0,pos,F,neg
1888.0,Male,24.0,Native American&more,0.0,pos,M,neg
5768.0,Female,33.0,Native American&more,3.0,neg,F,neg
4324.0,Male,24.0,African-American,0.0,pos,M,neg
836.0,Male,26.0,Native American&more,5.0,neg,F,neg
4888.0,Male,31.0,Native American&more,1.0,neg,F,neg
4816.0,Male,25.0,African-American,1.0,neg,M,neg
3440.0,Male,44.0,Native American&more,0.0,neg,M,neg
4768.0,Female,39.0,Native American&more,0.0,pos,M,neg
1160.0,Female,21.0,African-American,3.0,neg,F,neg
4582.0,Female,34.0,African-American,6.0,pos,F,neg
1807.0,Male,32.0,African-American,8.0,neg,F,neg
4401.0,Male,31.0,African-American,2.0,neg,F,neg
2948.0,Female,20.0,African-American,1.0,neg,F,neg
2653.0,Female,22.0,African-American,1.0,pos,M,neg
1781.0,Male,22.0,African-American,0.0,pos,F,neg
4741.0,Female,53.0,Native American&more,0.0,pos,M,neg
1156.0,Male,20.0,Native American&more,0.0,neg,F,neg
4066.0,Male,49.0,Native American&more,3.0,pos,F,neg
6481.0,Male,29.0,African-American,7.0,neg,F,neg
171.0,Male,52.0,Native American&more,2.0,pos,M,pos
5516.0,Male,28.0,Native American&more,0.0,neg,F,neg
7089.0,Male,51.0,Native American&more,0.0,neg,F,neg
3864.0,Male,23.0,Native American&more,0.0,pos,M,neg
3354.0,Female,38.0,African-American,3.0,neg,F,neg
6619.0,Male,28.0,African-American,5.0,neg,F,neg
3785.0,Female,23.0,Native American&more,7.0,neg,M,neg
2296.0,Male,31.0,African-American,7.0,neg,F,neg
6773.0,Male,67.0,Native American&more,0.0,pos,M,neg
4392.0,Male,39.0,Native American&more,0.0,pos,M,neg
2097.0,Male,21.0,Native American&more,1.0,pos,F,neg
5404.0,Male,51.0,Native American&more,0.0,pos,M,neg
2139.0,Male,25.0,African-American,4.0,neg,F,neg
4644.0,Male,25.0,African-American,11.0,neg,M,neg
