Unnamed: 0,sex,age,race,priors_count,is_recid,c_charge_degree=F,c_charge_degree=M
4759,Male,54,Native American&more,0,neg,1,0
3815,Male,24,African-American,11,neg,1,0
5192,Male,55,Native American&more,0,pos,0,1
71,Male,22,Native American&more,1,pos,1,0
3681,Male,53,Native American&more,2,pos,1,0
3767,Male,55,African-American,12,neg,1,0
6487,Male,27,African-American,1,neg,1,0
3099,Female,51,African-American,10,neg,1,0
2088,Male,51,Native American&more,2,pos,1,0
2662,Male,26,Native American&more,0,neg,1,0
811,Male,35,African-American,7,pos,1,0
14,Female,47,Native American&more,1,neg,1,0
5003,Male,54,African-American,1,pos,1,0
4077,Male,48,African-American,0,pos,0,1
6253,Male,29,African-American,3,neg,1,0
2078,Female,27,African-American,0,neg,0,1
1297,Male,65,Native American&more,2,pos,0,1
4243,Male,36,African-American,16,neg,1,0
3597,Male,60,African-American,13,pos,1,0
5430,Female,29,African-American,11,neg,1,0
1828,Male,37,Native American&more,3,pos,0,1
4526,Male,23,African-American,1,pos,1,0
4221,Male,28,Native American&more,5,pos,1,0
2845,Male,24,African-American,0,neg,1,0
3056,Male,28,African-American,5,neg,1,0
6275,Male,39,African-American,9,pos,1,0
7145,Male,29,Native American&more,14,neg,1,0
4865,Male,21,African-American,3,neg,1,0
5544,Male,24,Native American&more,4,neg,1,0
557,Male,22,African-American,3,neg,1,0
5018,Male,68,African-American,2,pos,1,0
3576,Male,48,African-American,0,pos,0,1
3019,Male,31,Native American&more,4,neg,1,0
1992,Male,42,African-American,0,neg,1,0
1249,Male,20,Native American&more,0,neg,0,1
1092,Male,29,Native American&more,7,neg,0,1
3286,Male,30,African-American,0,pos,1,0
5126,Male,35,Native American&more,3,neg,0,1
4291,Male,23,Native American&more,2,neg,1,0
3732,Female,22,African-American,0,pos,0,1
3083,Male,25,Native American&more,0,neg,1,0
6458,Female,48,African-American,0,neg,1,0
5945,Female,35,Native American&more,0,pos,1,0
2176,Male,33,African-American,4,pos,1,0
2434,Male,19,African-American,1,neg,1,0
6779,Male,32,Native American&more,0,pos,0,1
56,Male,30,Native American&more,0,pos,0,1
4546,Female,28,African-American,4,neg,1,0
