Unnamed: 0,sex,age,race,c_charge_degree,priors_count,is_recid
4759,Male,54,Hispanic,F,0,neg
3815,Male,24,African-American,F,11,neg
5192,Male,55,Caucasian,M,0,pos
71,Male,22,Hispanic,F,1,pos
3681,Male,53,Caucasian,F,2,pos
3767,Male,55,African-American,F,12,neg
6487,Male,27,African-American,F,1,neg
3099,Female,51,African-American,F,10,neg
2088,Male,51,Other,F,2,pos
2662,Male,26,Caucasian,F,0,neg
811,Male,35,African-American,F,7,pos
14,Female,47,Caucasian,F,1,neg
5003,Male,54,African-American,F,1,pos
4077,Male,48,African-American,M,0,pos
6253,Male,29,African-American,F,3,neg
2078,Female,27,African-American,M,0,neg
1297,Male,65,Caucasian,M,2,pos
4243,Male,36,African-American,F,16,neg
3597,Male,60,African-American,F,13,pos
5430,Female,29,African-American,F,11,neg
1828,Male,37,Caucasian,M,3,pos
4526,Male,23,African-American,F,1,pos
4221,Male,28,Caucasian,F,5,pos
2845,Male,24,African-American,F,0,neg
3056,Male,28,African-American,F,5,neg
6275,Male,39,African-American,F,9,pos
7145,Male,29,Caucasian,F,14,neg
4865,Male,21,African-American,F,3,neg
5544,Male,24,Asian,F,4,neg
557,Male,22,African-American,F,3,neg
5018,Male,68,African-American,F,2,pos
3576,Male,48,African-American,M,0,pos
3019,Male,31,Caucasian,F,4,neg
1992,Male,42,African-American,F,0,neg
1249,Male,20,Caucasian,M,0,neg
1092,Male,29,Caucasian,M,7,neg
3286,Male,30,African-American,F,0,pos
5126,Male,35,Caucasian,M,3,neg
4291,Male,23,Hispanic,F,2,neg
3732,Female,22,African-American,M,0,pos
3083,Male,25,Hispanic,F,0,neg
6458,Female,48,African-American,F,0,neg
5945,Female,35,Hispanic,F,0,pos
2176,Male,33,African-American,F,4,pos
2434,Male,19,African-American,F,1,neg
6779,Male,32,Hispanic,M,0,pos
56,Male,30,Hispanic,M,0,pos
4546,Female,28,African-American,F,4,neg
2734,Male,21,African-American,F,0,pos
2404,Female,31,African-American,M,0,pos
5166,Male,19,African-American,F,1,neg
3040,Male,32,African-American,M,12,neg
3199,Male,28,Caucasian,F,9,neg
6593,Male,51,African-American,F,1,pos
5690,Male,25,Caucasian,M,0,pos
730,Male,45,African-American,F,0,neg
5782,Female,22,Hispanic,F,1,neg
1097,Male,50,African-American,F,7,pos
3196,Female,27,Caucasian,F,1,pos
4088,Male,64,Caucasian,M,0,pos
1438,Female,23,African-American,M,0,pos
1882,Male,36,African-American,F,0,pos
2056,Male,25,Hispanic,F,0,pos
5561,Male,23,African-American,F,2,neg
7210,Male,23,African-American,F,0,pos
6167,Male,24,Caucasian,M,1,neg
241,Male,25,Hispanic,F,4,pos
6019,Male,21,Hispanic,F,4,neg
3118,Male,24,Caucasian,F,1,pos
227,Male,37,African-American,M,0,neg
5020,Male,46,African-American,F,3,neg
5999,Female,48,Caucasian,F,1,pos
5585,Male,29,African-American,M,0,pos
6162,Female,27,Caucasian,F,1,neg
3034,Male,27,Caucasian,M,0,neg
336,Female,21,African-American,F,0,neg
470,Male,54,African-American,M,2,pos
2062,Male,32,Caucasian,F,0,pos
1432,Female,42,African-American,M,2,pos
134,Female,29,Caucasian,F,10,neg
4262,Male,37,Hispanic,F,1,neg
5626,Male,24,Caucasian,F,5,neg
2124,Male,34,Caucasian,F,1,pos
4850,Male,51,African-American,F,2,pos
2119,Male,29,African-American,F,11,neg
88,Female,35,African-American,M,1,pos
3671,Male,38,African-American,F,0,pos
6184,Female,43,African-American,M,0,pos
83,Male,50,Other,F,0,neg
2843,Male,23,African-American,F,2,neg
3733,Male,34,Hispanic,M,0,pos
157,Female,46,Other,F,1,pos
1222,Female,25,African-American,F,2,neg
3255,Male,23,African-American,F,6,neg
4194,Male,35,Caucasian,F,5,pos
6951,Female,22,Caucasian,M,1,pos
1606,Male,36,African-American,F,0,pos
460,Female,34,Native American,F,4,neg
5825,Male,29,African-American,F,16,neg
7162,Male,37,African-American,F,4,pos
3927,Female,23,Caucasian,M,0,pos
4176,Male,41,African-American,F,16,neg
1747,Male,27,African-American,M,3,pos
4791,Female,58,Other,F,0,neg
917,Male,21,African-American,F,2,neg
3061,Male,25,African-American,M,1,neg
1996,Male,31,Other,F,5,neg
6717,Male,47,Other,M,5,neg
2193,Male,35,Caucasian,F,7,neg
5950,Male,20,Other,F,0,pos
5974,Male,20,African-American,F,1,pos
2577,Male,33,Caucasian,F,3,pos
1980,Male,31,Caucasian,M,1,neg
5355,Female,20,African-American,F,0,pos
7004,Female,29,African-American,F,0,pos
2196,Female,28,African-American,F,3,neg
1849,Male,51,African-American,F,4,pos
2402,Male,28,African-American,F,4,pos
4344,Male,41,Hispanic,M,1,pos
279,Female,22,Caucasian,F,1,pos
5706,Male,37,African-American,F,17,neg
3943,Male,51,Caucasian,M,0,pos
1803,Male,29,African-American,F,13,neg
5592,Male,29,African-American,F,6,neg
3477,Male,50,Caucasian,F,0,pos
6470,Male,30,African-American,M,9,neg
2574,Male,52,African-American,F,7,neg
2089,Male,33,African-American,F,23,neg
5589,Female,36,African-American,F,1,pos
2898,Male,22,Caucasian,M,0,pos
4178,Male,28,African-American,F,3,pos
6111,Male,30,African-American,F,10,neg
494,Male,54,African-American,M,0,pos
1440,Male,48,African-American,F,9,neg
